STATE_UT,YEAR,DISTRICT,MURDER
A & N ISLANDS,2001,ANDAMAN,13
A & N ISLANDS,2001,TOTAL,13
A & N ISLANDS,2002,TOTAL,17
A & N ISLANDS,2003,TOTAL,21
A & N ISLANDS,2004,TOTAL,15
A & N ISLANDS,2005,ANDAMAN,14
A & N ISLANDS,2005,TOTAL,14
A & N ISLANDS,2006,TOTAL,4
A & N ISLANDS,2007,A and N ISLANDS,15
A & N ISLANDS,2007,TOTAL,15
A & N ISLANDS,2008,ANDAMAN,8
A & N ISLANDS,2008,TOTAL,8
A & N ISLANDS,2009,ANDAMAN,15
A & N ISLANDS,2009,TOTAL,15
A & N ISLANDS,2010,TOTAL,9
A & N ISLANDS,2011,ANDAMAN,14
A & N ISLANDS,2011,TOTAL,14
A & N ISLANDS,2012,TOTAL,15
ANDHRA PRADESH,2001,TOTAL,2602
ANDHRA PRADESH,2002,TOTAL,2525
ANDHRA PRADESH,2003,TOTAL,2667
ANDHRA PRADESH,2004,TOTAL,2579
ANDHRA PRADESH,2005,TOTAL,2750
ANDHRA PRADESH,2006,TOTAL,2766
ANDHRA PRADESH,2007,TOTAL,2665
ANDHRA PRADESH,2008,TOTAL,2690
ANDHRA PRADESH,2009,TOTAL,2449
ANDHRA PRADESH,2010,TOTAL,2538
ANDHRA PRADESH,2011,TOTAL,2808
ANDHRA PRADESH,2012,TOTAL,2717
ARUNACHAL PRADESH,2001,TOTAL,83
ARUNACHAL PRADESH,2002,TOTAL,61
ARUNACHAL PRADESH,2003,TOTAL,77
ARUNACHAL PRADESH,2004,TOTAL,67
ARUNACHAL PRADESH,2005,TOTAL,81
ARUNACHAL PRADESH,2006,TOTAL,60
ARUNACHAL PRADESH,2007,TOTAL,68
ARUNACHAL PRADESH,2008,TOTAL,72
ARUNACHAL PRADESH,2009,TOTAL,59
ARUNACHAL PRADESH,2010,TOTAL,75
ARUNACHAL PRADESH,2011,TOTAL,65
ARUNACHAL PRADESH,2012,TOTAL,73
ASSAM,2001,TOTAL,1356
ASSAM,2002,TOTAL,1253
ASSAM,2003,TOTAL,1191
ASSAM,2004,TOTAL,1214
ASSAM,2005,TOTAL,1194
ASSAM,2006,TOTAL,1207
ASSAM,2007,TOTAL,1374
ASSAM,2008,TOTAL,1426
ASSAM,2009,TOTAL,1323
ASSAM,2010,TOTAL,1223
ASSAM,2011,TOTAL,1303
ASSAM,2012,TOTAL,1368
BIHAR,2001,TOTAL,3643
BIHAR,2002,TOTAL,3712
BIHAR,2003,TOTAL,3771
BIHAR,2004,TOTAL,3948
BIHAR,2005,TOTAL,3471
BIHAR,2006,TOTAL,3249
BIHAR,2007,TOTAL,3034
BIHAR,2008,TOTAL,3139
BIHAR,2009,TOTAL,3152
BIHAR,2010,TOTAL,3362
BIHAR,2011,TOTAL,3198
BIHAR,2012,TOTAL,3566
CHANDIGARH,2001,CHANDIGARH,15
CHANDIGARH,2001,TOTAL,15
CHANDIGARH,2002,CHANDIGARH,31
CHANDIGARH,2002,TOTAL,31
CHANDIGARH,2003,CHANDIGARH,21
CHANDIGARH,2003,TOTAL,21
CHANDIGARH,2004,CHANDIGARH,22
CHANDIGARH,2004,TOTAL,22
CHANDIGARH,2005,CHANDIGARH,18
CHANDIGARH,2005,TOTAL,18
CHANDIGARH,2006,CHANDIGARH,12
CHANDIGARH,2006,TOTAL,12
CHANDIGARH,2007,CHANDIGARH,19
CHANDIGARH,2007,TOTAL,19
CHANDIGARH,2008,CHANDIGARH,17
CHANDIGARH,2008,TOTAL,17
CHANDIGARH,2009,CHANDIGARH,22
CHANDIGARH,2009,TOTAL,22
CHANDIGARH,2010,CHANDIGARH,21
CHANDIGARH,2010,TOTAL,21
CHANDIGARH,2011,CHANDIGARH,24
CHANDIGARH,2011,TOTAL,24
CHANDIGARH,2012,CHANDIGARH,21
CHANDIGARH,2012,TOTAL,21
CHHATTISGARH,2001,TOTAL,880
CHHATTISGARH,2002,TOTAL,844
CHHATTISGARH,2003,TOTAL,776
CHHATTISGARH,2004,TOTAL,927
CHHATTISGARH,2005,TOTAL,1013
CHHATTISGARH,2006,TOTAL,1098
CHHATTISGARH,2007,TOTAL,1097
CHHATTISGARH,2008,TOTAL,1169
CHHATTISGARH,2009,TOTAL,1083
CHHATTISGARH,2010,TOTAL,1065
CHHATTISGARH,2011,TOTAL,1110
CHHATTISGARH,2012,TOTAL,998
D & N HAVELI,2001,D and N HAVELI,3
D & N HAVELI,2001,TOTAL,3
D & N HAVELI,2002,D and N HAVELI,11
D & N HAVELI,2002,TOTAL,11
D & N HAVELI,2003,D and N HAVELI,11
D & N HAVELI,2003,TOTAL,11
D & N HAVELI,2004,D and N HAVELI,11
D & N HAVELI,2004,TOTAL,11
D & N HAVELI,2005,D and N HAVELI,7
D & N HAVELI,2005,TOTAL,7
D & N HAVELI,2006,D and N HAVELI,9
D & N HAVELI,2006,TOTAL,9
D & N HAVELI,2007,D and N HAVELI,10
D & N HAVELI,2007,TOTAL,10
D & N HAVELI,2008,D and N HAVELI,9
D & N HAVELI,2008,TOTAL,9
D & N HAVELI,2009,D and N HAVELI,10
D & N HAVELI,2009,TOTAL,10
D & N HAVELI,2010,D and N HAVELI,6
D & N HAVELI,2010,TOTAL,6
D & N HAVELI,2011,D and N HAVELI,14
D & N HAVELI,2011,TOTAL,14
D & N HAVELI,2012,D and N HAVELI,7
D & N HAVELI,2012,TOTAL,7
DAMAN & DIU,2001,TOTAL,7
DAMAN & DIU,2002,TOTAL,8
DAMAN & DIU,2003,DAMAN,6
DAMAN & DIU,2003,TOTAL,6
DAMAN & DIU,2004,TOTAL,3
DAMAN & DIU,2005,TOTAL,5
DAMAN & DIU,2006,DAMAN,6
DAMAN & DIU,2006,TOTAL,6
DAMAN & DIU,2007,DAMAN,12
DAMAN & DIU,2007,TOTAL,12
DAMAN & DIU,2008,DAMAN,2
DAMAN & DIU,2008,TOTAL,2
DAMAN & DIU,2009,DAMAN,5
DAMAN & DIU,2009,TOTAL,5
DAMAN & DIU,2010,DAMAN,5
DAMAN & DIU,2010,TOTAL,5
DAMAN & DIU,2011,DAMAN,6
DAMAN & DIU,2011,TOTAL,6
DAMAN & DIU,2012,DAMAN,3
DAMAN & DIU,2012,TOTAL,3
DELHI UT,2001,DELHI UT TOTAL,547
DELHI UT,2002,DELHI UT TOTAL,531
DELHI UT,2003,DELHI UT TOTAL,485
DELHI UT,2004,DELHI UT TOTAL,481
DELHI UT,2005,DELHI UT TOTAL,455
DELHI UT,2006,DELHI UT TOTAL,476
DELHI UT,2007,DELHI UT TOTAL,495
DELHI UT,2008,DELHI UT TOTAL,554
DELHI UT,2009,DELHI UT TOTAL,552
DELHI UT,2010,DELHI UT TOTAL,565
DELHI UT,2011,DELHI UT TOTAL,543
DELHI UT,2012,DELHI UT TOTAL,521
GOA,2001,TOTAL,36
GOA,2002,TOTAL,30
GOA,2003,TOTAL,34
GOA,2004,TOTAL,40
GOA,2005,TOTAL,45
GOA,2006,TOTAL,39
GOA,2007,TOTAL,33
GOA,2008,TOTAL,49
GOA,2009,TOTAL,53
GOA,2010,TOTAL,35
GOA,2011,TOTAL,48
GOA,2012,TOTAL,45
GUJARAT,2001,TOTAL,1226
GUJARAT,2002,TOTAL,1532
GUJARAT,2003,TOTAL,1114
GUJARAT,2004,TOTAL,1113
GUJARAT,2005,TOTAL,1033
GUJARAT,2006,TOTAL,1165
GUJARAT,2007,TOTAL,1166
GUJARAT,2008,TOTAL,1106
GUJARAT,2009,TOTAL,1020
GUJARAT,2010,TOTAL,1048
GUJARAT,2011,TOTAL,1126
GUJARAT,2012,TOTAL,1126
HARYANA,2001,TOTAL,781
HARYANA,2002,TOTAL,760
HARYANA,2003,TOTAL,702
HARYANA,2004,TOTAL,733
HARYANA,2005,TOTAL,784
HARYANA,2006,TOTAL,873
HARYANA,2007,TOTAL,911
HARYANA,2008,TOTAL,921
HARYANA,2009,TOTAL,948
HARYANA,2010,TOTAL,1005
HARYANA,2011,TOTAL,1062
HARYANA,2012,TOTAL,991
HIMACHAL PRADESH,2001,TOTAL,119
HIMACHAL PRADESH,2002,TOTAL,123
HIMACHAL PRADESH,2003,TOTAL,125
HIMACHAL PRADESH,2004,TOTAL,110
HIMACHAL PRADESH,2005,TOTAL,110
HIMACHAL PRADESH,2006,TOTAL,111
HIMACHAL PRADESH,2007,TOTAL,127
HIMACHAL PRADESH,2008,TOTAL,129
HIMACHAL PRADESH,2009,TOTAL,125
HIMACHAL PRADESH,2010,TOTAL,132
HIMACHAL PRADESH,2011,TOTAL,130
HIMACHAL PRADESH,2012,TOTAL,113
JAMMU & KASHMIR,2001,TOTAL,1075
JAMMU & KASHMIR,2002,TOTAL,1048
JAMMU & KASHMIR,2003,TOTAL,929
JAMMU & KASHMIR,2004,TOTAL,816
JAMMU & KASHMIR,2005,TOTAL,647
JAMMU & KASHMIR,2006,TOTAL,487
JAMMU & KASHMIR,2007,TOTAL,318
JAMMU & KASHMIR,2008,TOTAL,237
JAMMU & KASHMIR,2009,TOTAL,237
JAMMU & KASHMIR,2010,TOTAL,217
JAMMU & KASHMIR,2011,TOTAL,169
JAMMU & KASHMIR,2012,TOTAL,124
JHARKHAND,2001,TOTAL,1507
JHARKHAND,2002,TOTAL,1488
JHARKHAND,2003,TOTAL,1482
JHARKHAND,2004,TOTAL,1488
JHARKHAND,2005,TOTAL,1523
JHARKHAND,2006,TOTAL,1492
JHARKHAND,2007,TOTAL,1617
JHARKHAND,2008,TOTAL,1697
JHARKHAND,2009,TOTAL,1636
JHARKHAND,2010,TOTAL,1689
JHARKHAND,2011,TOTAL,1747
JHARKHAND,2012,TOTAL,1694
KARNATAKA,2001,TOTAL,1626
KARNATAKA,2002,TOTAL,1627
KARNATAKA,2003,TOTAL,1506
KARNATAKA,2004,TOTAL,1519
